timestamp,station_id,lat,lon,wave_height_m,period_s,temp_c,wind_speed_mps,pressure_hpa,runup_m,risk_level,is_cyclone_event,cyclone_intensity
2023-01-01T00:00:00Z,BUOY-VZG-01,17.72,83.4,1.05,8.7,28.2,4.19,1012.3,0.6322,SAFE,0,0.0
2023-01-01T01:00:00Z,BUOY-CHN-01,13.1,80.35,1.07,8.7,27.3,5.01,1012.2,0.6382,SAFE,0,0.0
2023-01-01T02:00:00Z,BUOY-MUM-01,19.4,72.2,1.32,7.1,25.9,4.79,1009.2,0.5785,SAFE,0,0.0
2023-01-01T03:00:00Z,BUOY-GOA-01,15.3,73.8,1.27,7.6,27.4,4.85,1009.8,0.6074,SAFE,0,0.0
2023-01-01T04:00:00Z,BUOY-KOC-01,9.97,76.25,1.05,8.2,26.3,4.17,1007.3,0.5959,SAFE,0,0.0
2023-01-01T05:00:00Z,BUOY-PUR-01,19.8,85.9,0.96,7.4,26.6,4.67,1008.5,0.5142,SAFE,0,0.0
2023-01-01T06:00:00Z,BUOY-DIG-01,21.65,87.55,1.39,7.6,26.7,5.47,1010.5,0.6355,SAFE,0,0.0
2023-01-01T07:00:00Z,BUOY-GUJ-01,21.6,69.6,1.05,8.8,27.6,5.49,1012.9,0.6395,SAFE,0,0.0
2023-01-01T08:00:00Z,BUOY-TUT-01,8.8,78.2,1.22,7.9,27.5,4.89,1012.5,0.6188,SAFE,0,0.0
2023-01-01T09:00:00Z,BUOY-DVK-01,20.4,72.8,1.35,8.2,26.9,5.69,1009.0,0.6757,SAFE,0,0.0
2023-01-01T10:00:00Z,BUOY-VZG-01,17.72,83.4,1.15,8.3,27.7,5.2,1012.6,0.6312,SAFE,0,0.0
2023-01-01T11:00:00Z,BUOY-CHN-01,13.1,80.35,0.98,8.8,26.9,4.86,1010.7,0.6178,SAFE,0,0.0
2023-01-01T12:00:00Z,BUOY-MUM-01,19.4,72.2,1.31,7.0,25.5,4.8,1009.2,0.5682,SAFE,0,0.0
2023-01-01T13:00:00Z,BUOY-GOA-01,15.3,73.8,1.2,7.5,26.8,4.67,1009.4,0.5827,SAFE,0,0.0
2023-01-01T14:00:00Z,BUOY-KOC-01,9.97,76.25,1.06,8.1,25.8,3.45,1007.3,0.5914,SAFE,0,0.0
2023-01-01T15:00:00Z,BUOY-PUR-01,19.8,85.9,0.98,7.5,26.2,4.48,1009.1,0.5265,SAFE,0,0.0
2023-01-01T16:00:00Z,BUOY-DIG-01,21.65,87.55,1.32,7.4,26.2,4.77,1011.8,0.603,SAFE,0,0.0
2023-01-01T17:00:00Z,BUOY-GUJ-01,21.6,69.6,1.03,8.5,26.6,4.55,1014.0,0.6118,SAFE,0,0.0
2023-01-01T18:00:00Z,BUOY-TUT-01,8.8,78.2,1.28,8.1,27.3,4.48,1013.4,0.6499,SAFE,0,0.0
2023-01-01T19:00:00Z,BUOY-DVK-01,20.4,72.8,1.33,8.2,26.7,5.57,1010.6,0.6707,SAFE,0,0.0
2023-01-01T20:00:00Z,BUOY-VZG-01,17.72,83.4,1.06,7.9,27.2,5.73,1014.6,0.5768,SAFE,0,0.0
2023-01-01T21:00:00Z,BUOY-CHN-01,13.1,80.35,1.0,8.4,26.9,4.14,1011.7,0.5957,SAFE,0,0.0
2023-01-01T22:00:00Z,BUOY-MUM-01,19.4,72.2,1.24,7.2,25.8,4.78,1009.3,0.5686,SAFE,0,0.0
2023-01-01T23:00:00Z,BUOY-GOA-01,15.3,73.8,1.15,7.4,26.8,4.27,1011.0,0.5628,SAFE,0,0.0
2023-01-02T00:00:00Z,BUOY-KOC-01,9.97,76.25,1.08,8.0,26.2,3.42,1007.5,0.5896,SAFE,0,0.0
2023-01-02T01:00:00Z,BUOY-PUR-01,19.8,85.9,0.99,7.3,26.5,4.46,1008.3,0.5151,SAFE,0,0.0
2023-01-02T02:00:00Z,BUOY-DIG-01,21.65,87.55,1.16,7.0,26.5,4.38,1011.0,0.5347,SAFE,0,0.0
2023-01-02T03:00:00Z,BUOY-GUJ-01,21.6,69.6,0.95,8.1,26.4,4.97,1014.9,0.5599,SAFE,0,0.0
2023-01-02T04:00:00Z,BUOY-TUT-01,8.8,78.2,1.19,8.1,27.4,3.8,1014.1,0.6266,SAFE,0,0.0
2023-01-02T05:00:00Z,BUOY-DVK-01,20.4,72.8,1.37,8.1,26.6,5.57,1009.9,0.6724,SAFE,0,0.0
2023-01-02T06:00:00Z,BUOY-VZG-01,17.72,83.4,0.97,7.8,27.2,5.73,1013.7,0.5448,SAFE,0,0.0
2023-01-02T07:00:00Z,BUOY-CHN-01,13.1,80.35,0.98,8.3,26.7,3.25,1014.1,0.5827,SAFE,0,0.0
2023-01-02T08:00:00Z,BUOY-MUM-01,19.4,72.2,1.2,7.2,25.5,4.41,1009.4,0.5594,SAFE,0,0.0
2023-01-02T09:00:00Z,BUOY-GOA-01,15.3,73.8,1.02,7.3,26.5,3.81,1010.0,0.5229,SAFE,0,0.0
2023-01-02T10:00:00Z,BUOY-KOC-01,9.97,76.25,1.11,8.0,26.0,4.15,1008.0,0.5977,SAFE,0,0.0
2023-01-02T11:00:00Z,BUOY-PUR-01,19.8,85.9,0.91,7.4,26.2,3.92,1010.9,0.5006,SAFE,0,0.0
2023-01-02T12:00:00Z,BUOY-DIG-01,21.65,87.55,1.07,7.2,25.8,5.05,1008.7,0.5282,SAFE,0,0.0
2023-01-02T13:00:00Z,BUOY-GUJ-01,21.6,69.6,0.98,8.0,25.5,4.88,1013.4,0.5617,SAFE,0,0.0
2023-01-02T14:00:00Z,BUOY-TUT-01,8.8,78.2,1.29,8.1,27.0,3.35,1013.5,0.6524,SAFE,0,0.0
2023-01-02T15:00:00Z,BUOY-DVK-01,20.4,72.8,1.27,8.0,26.0,5.44,1009.8,0.6394,SAFE,0,0.0
2023-01-02T16:00:00Z,BUOY-VZG-01,17.72,83.4,0.92,7.7,26.8,5.74,1013.9,0.5238,SAFE,0,0.0
2023-01-02T17:00:00Z,BUOY-CHN-01,13.1,80.35,0.92,8.0,26.1,3.65,1011.9,0.5442,SAFE,0,0.0
2023-01-02T18:00:00Z,BUOY-MUM-01,19.4,72.2,1.18,7.6,25.3,4.09,1007.2,0.5855,SAFE,0,0.0
2023-01-02T19:00:00Z,BUOY-GOA-01,15.3,73.8,1.12,7.3,26.4,3.66,1011.4,0.5479,SAFE,0,0.0
2023-01-02T20:00:00Z,BUOY-KOC-01,9.97,76.25,1.05,7.8,25.5,3.49,1008.6,0.5668,SAFE,0,0.0
2023-01-02T21:00:00Z,BUOY-PUR-01,19.8,85.9,0.91,7.3,25.7,4.29,1011.8,0.4939,SAFE,0,0.0
2023-01-02T22:00:00Z,BUOY-DIG-01,21.65,87.55,1.1,7.2,26.0,4.99,1009.5,0.5355,SAFE,0,0.0
2023-01-02T23:00:00Z,BUOY-GUJ-01,21.6,69.6,1.0,7.9,25.7,4.73,1012.8,0.5603,SAFE,0,0.0
2023-01-03T00:00:00Z,BUOY-TUT-01,8.8,78.2,1.18,8.2,26.9,2.84,1014.1,0.6317,SAFE,0,0.0
2023-01-03T01:00:00Z,BUOY-DVK-01,20.4,72.8,1.25,7.9,26.1,4.84,1009.2,0.6264,SAFE,0,0.0
2023-01-03T02:00:00Z,BUOY-VZG-01,17.72,83.4,0.86,7.7,26.5,4.98,1014.6,0.5064,SAFE,0,0.0
2023-01-03T03:00:00Z,BUOY-CHN-01,13.1,80.35,0.86,7.8,26.0,3.62,1012.2,0.513,SAFE,0,0.0
2023-01-03T04:00:00Z,BUOY-MUM-01,19.4,72.2,1.07,7.7,25.4,4.49,1008.6,0.5649,SAFE,0,0.0
2023-01-03T05:00:00Z,BUOY-GOA-01,15.3,73.8,0.99,7.4,26.1,3.31,1013.0,0.5222,SAFE,0,0.0
2023-01-03T06:00:00Z,BUOY-KOC-01,9.97,76.25,0.97,8.1,25.4,3.93,1007.5,0.5658,SAFE,0,0.0
2023-01-03T07:00:00Z,BUOY-PUR-01,19.8,85.9,0.88,6.9,25.5,4.3,1010.5,0.459,SAFE,0,0.0
2023-01-03T08:00:00Z,BUOY-DIG-01,21.65,87.55,1.11,7.1,26.0,4.47,1010.9,0.5305,SAFE,0,0.0
2023-01-03T09:00:00Z,BUOY-GUJ-01,21.6,69.6,1.09,7.6,26.0,4.19,1010.9,0.5627,SAFE,0,0.0
2023-01-03T10:00:00Z,BUOY-TUT-01,8.8,78.2,1.09,8.4,26.7,2.92,1016.9,0.622,SAFE,0,0.0
2023-01-03T11:00:00Z,BUOY-DVK-01,20.4,72.8,1.23,8.1,26.0,4.69,1009.3,0.6371,SAFE,0,0.0
2023-01-03T12:00:00Z,BUOY-VZG-01,17.72,83.4,0.91,7.6,26.4,4.49,1012.7,0.5142,SAFE,0,0.0
2023-01-03T13:00:00Z,BUOY-CHN-01,13.1,80.35,0.9,7.7,25.8,3.81,1011.1,0.5181,SAFE,0,0.0
2023-01-03T14:00:00Z,BUOY-MUM-01,19.4,72.2,1.05,7.6,25.0,4.31,1007.1,0.5523,SAFE,0,0.0
2023-01-03T15:00:00Z,BUOY-GOA-01,15.3,73.8,1.07,7.3,25.7,2.39,1014.4,0.5355,SAFE,0,0.0
2023-01-03T16:00:00Z,BUOY-KOC-01,9.97,76.25,0.85,8.1,24.9,3.84,1008.2,0.5296,SAFE,0,0.0
2023-01-03T17:00:00Z,BUOY-PUR-01,19.8,85.9,0.94,7.0,25.8,3.64,1011.8,0.4813,SAFE,0,0.0
2023-01-03T18:00:00Z,BUOY-DIG-01,21.65,87.55,1.03,7.1,25.9,3.9,1012.5,0.511,SAFE,0,0.0
2023-01-03T19:00:00Z,BUOY-GUJ-01,21.6,69.6,1.04,7.8,25.8,5.18,1013.1,0.5641,SAFE,0,0.0
2023-01-03T20:00:00Z,BUOY-TUT-01,8.8,78.2,1.09,8.3,26.3,2.82,1016.7,0.6145,SAFE,0,0.0
